Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Duration,QC Name
Chengdu,PM2.5,01/01/15 12:00 AM,2015,1,1,0,152,1 Hr,Valid
Chengdu,PM2.5,01/01/15 01:00 AM,2015,1,1,1,130,1 Hr,Valid
Chengdu,PM2.5,01/01/15 02:00 AM,2015,1,1,2,125,1 Hr,Valid
Chengdu,PM2.5,01/01/15 03:00 AM,2015,1,1,3,131,1 Hr,Valid
Chengdu,PM2.5,01/01/15 04:00 AM,2015,1,1,4,133,1 Hr,Valid
Chengdu,PM2.5,01/01/15 05:00 AM,2015,1,1,5,133,1 Hr,Valid
Chengdu,PM2.5,01/01/15 06:00 AM,2015,1,1,6,131,1 Hr,Valid
Chengdu,PM2.5,01/01/15 07:00 AM,2015,1,1,7,142,1 Hr,Valid
Chengdu,PM2.5,01/01/15 08:00 AM,2015,1,1,8,154,1 Hr,Valid
Chengdu,PM2.5,01/01/15 09:00 AM,2015,1,1,9,153,1 Hr,Valid
Chengdu,PM2.5,01/01/15 10:00 AM,2015,1,1,10,172,1 Hr,Valid
Chengdu,PM2.5,01/01/15 11:00 AM,2015,1,1,11,177,1 Hr,Valid
Chengdu,PM2.5,01/01/15 12:00 PM,2015,1,1,12,195,1 Hr,Valid
Chengdu,PM2.5,01/01/15 01:00 PM,2015,1,1,13,208,1 Hr,Valid
Chengdu,PM2.5,01/01/15 02:00 PM,2015,1,1,14,210,1 Hr,Valid
Chengdu,PM2.5,01/01/15 03:00 PM,2015,1,1,15,206,1 Hr,Valid
Chengdu,PM2.5,01/01/15 04:00 PM,2015,1,1,16,196,1 Hr,Valid
Chengdu,PM2.5,01/01/15 05:00 PM,2015,1,1,17,180,1 Hr,Valid
Chengdu,PM2.5,01/01/15 06:00 PM,2015,1,1,18,190,1 Hr,Valid
Chengdu,PM2.5,01/01/15 07:00 PM,2015,1,1,19,189,1 Hr,Valid
Chengdu,PM2.5,01/01/15 08:00 PM,2015,1,1,20,175,1 Hr,Valid
